name,price,price_for_metr,floor_object,total_floors,type_of_home,square_home,live_square,kitchen_square,height_ceiling,bathroom,balcony,repair,yer_home,garbage_chute,type_home,type_of_overlap,entrances,heating,accident_rate,gas_supply,finishing,number_of_elevators,address,link
Доля,1333000,33325,5,9,Вторичка,40.0,17.0,11.0,2.7,Null,1,Null,1981,Null,Кирпичный,Железобетонные,2,Центральное,Нет,Центральное,Null,1,"Омская область, Омск, Октябрьский, мкр. Чкаловский, просп. Космический, 16А",https://omsk.cian.ru/sale/flat/293799305/
Доля,1500000,33333,5,5,Вторичка,45.0,27.0,6.0,Null,Null,1,Null,1971,Null,Панельный,Железобетонные,6,Центральное,Нет,Центральное,Null,Null,"Омская область, Омск, Советский, мкр. Город Нефтяников, Городок Нефтяников микрорайон, ул. 50 лет Профсоюзов, 132",https://omsk.cian.ru/sale/flat/293491595/
2-комн. квартира,1560000,34667,1,3,Вторичка,45.0,Null,Null,Null,Null,Null,Null,1960,Null,Кирпичный,Железобетонные,3,Центральное,Нет,Центральное,Null,Null,"Омская область, Омск, Октябрьский, Крутая Горка микрорайон, ул. Российская, 5",https://omsk.cian.ru/sale/flat/294415825/
Доля,1470000,18870,3,4,Вторичка,77.9,57.4,9.0,3.0,Null,1,Null,1934,Null,Кирпичный,Деревянные,4,Центральное,Нет,Центральное,Null,Null,"Омская область, Омск, Ленинский, мкр. Привокзальный, ул. Вокзальная, 1",https://omsk.cian.ru/sale/flat/290099793/
1-комн. квартира,1650000,91667,2,5,Вторичка,18.0,18.0,Null,Null,Null,Null,Косметический,1967,Null,Кирпичный,Нет информации,2,Центральное,Нет,Центральное,Null,Null,"Омская область, Омск, Октябрьский, мкр. Чкаловский, просп. Космический, 18",https://omsk.cian.ru/sale/flat/286163406/
1-комн. квартира,1800000,57325,4,5,Вторичка,31.4,18.7,6.2,Null,1,1,Косметический,1963,Null,Панельный,Железобетонные,4,Центральное,Нет,Автономное,Null,Null,"Омская область, Омск, Октябрьский, Крутая Горка микрорайон, ул. Моторостроителей, 18",https://omsk.cian.ru/sale/flat/294233895/
Студия,1650000,64706,1,2,Вторичка,25.5,14.5,6.0,2.7,Null,Null,Дизайнерский,Null,Null,Каркасный,Null,Null,Null,Null,Null,Null,Null,"Омская область, Омск, Кировский, мкр. Старый Кировск, ул. 9-я Самарская, 8",https://omsk.cian.ru/sale/flat/294441754/
1-комн. квартира,1670000,86528,3,5,Вторичка,19.3,Null,Null,Null,1,Null,Косметический,2019,Null,Блочный,Железобетонные,1,Нет информации,Нет,Null,Null,Null,"Омская область, Омск, Центральный, ул. 36-я Северная, 5",https://omsk.cian.ru/sale/flat/287279514/
Студия,1800000,105263,2,5,Вторичка,17.1,Null,Null,2.5,1,Null,Косметический,1967,Null,Кирпичный,Нет информации,2,Центральное,Нет,Центральное,Null,Null,"Омская область, Омск, Октябрьский, мкр. Чкаловский, просп. Космический, 18",https://omsk.cian.ru/sale/flat/292750842/
2-комн. квартира,1900000,61290,4,5,Вторичка,31.0,Null,7.0,2.54,Null,Null,Косметический,1976,Null,Кирпичный,Железобетонные,2,Центральное,Нет,Центральное,Null,Null,"Омская область, Омск, Кировский, ул. 2-я Солнечная, 29",https://omsk.cian.ru/sale/flat/292187604/
